function,scale,data,algorithm,seed,final_dist_y,final_dist_x,steps
Sphere,raw,clean,tpe_gradw,38,0.0037236396762879783,0.06102163285498003,
Sphere,raw,clean,tpe_gradw,39,0.0010104915613442698,0.031788229918387555,
Sphere,raw,clean,tpe_gradw,40,0.01952470323284525,0.13973082420441543,
Sphere,raw,clean,tpe_gradw,41,0.0006486732516773821,0.025469064601539294,66.0
Sphere,raw,clean,tpe_gradw,42,0.00034943482707214333,0.01869317594931753,66.0
Sphere,raw,clean,tpe_gradw,43,0.00873369520716859,0.09345424124762124,
Sphere,raw,clean,tpe_gradw,44,0.000147758925319064,0.012155612914167018,26.0
Sphere,raw,clean,tpe_gradw,45,0.0047149846362666056,0.06866574572715718,
Sphere,raw,clean,tpe_gradw,46,6.87508221585587e-05,0.008291611553766776,73.0
Sphere,raw,clean,tpe_gradw,47,0.009540104717644007,0.09767345963793853,
Sphere,raw,clean,tpe_gradw,48,5.8552466916136456e-05,0.00765195837130185,39.0
Sphere,raw,clean,tpe_gradw,49,0.01890085980789651,0.13748039790419764,
Sphere,raw,clean,tpe_gp,0,0.0003265701376529388,0.018071251690265917,38.0
Sphere,raw,clean,tpe_gp,1,6.281083411929633e-05,0.007925328644245382,32.0
Sphere,raw,clean,tpe_gp,2,0.00020495656572216376,0.014316304192149725,39.0
Sphere,raw,clean,tpe_gp,3,1.740889097254687e-05,0.004172396310580632,39.0
Sphere,raw,clean,tpe_gp,4,0.0002995870346280561,0.017308582686865383,76.0
Sphere,raw,clean,tpe_gp,5,3.370130788954079e-06,0.0018357915973644936,26.0
